h5_file,scenario_year,scenario_label,node,carrier,carrier_class,annual_import,annual_export,import_cost,export_revenue,net_cost
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,HBfeed,Other carriers,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,MPW,MPW,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,ammonia,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,biomass,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,crackergas,Fossil feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,cracking_byproducts,Chemical products,0.0,1942296.4049889948,0.0,1147897175.348496,-1147897175.348496
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,electricity,Electricity,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,electricity_grid,Electricity,1278293.6782525082,0.0,117285317.36616981,0.0,117285317.36616981
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,ethylene,Chemical products,0.0,248074.10124724812,0.0,2480.7410124724815,-2480.7410124724815
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,feedgas,Fossil feedstock,0.0,623121.5513617038,0.0,320471413.8653244,-320471413.8653244
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,hydrogen,Hydrogen,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,hydrogen_transported,Hydrogen,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,methane,Fossil feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,methane_bio,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,methanol,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,naphtha,Fossil feedstock,4952311.078503301,0.0,3625091709.4644165,0.0,3625091709.4644165
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,naphtha_bio,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,nitrogen,Other carriers,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,olefins,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,propylene,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,steam,Other carriers,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL2,syngas,Chemical products,0.0,51010.01444967882,0.0,510.1001444967882,-510.1001444967882
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,CO2,CO2,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,CO2captured,CO2,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,HBfeed,Other carriers,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,MPW,MPW,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,ammonia,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,biomass,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,crackergas,Fossil feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,cracking_byproducts,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,electricity,Electricity,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,electricity_grid,Electricity,618894.4444444345,0.0,56784471.806240365,0.0,56784471.806240365
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,ethylene,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,feedgas,Fossil feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,hydrogen,Hydrogen,0.0,53124.99999999914,0.0,531.2499999999914,-531.2499999999914
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,hydrogen_transported,Hydrogen,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,methane,Fossil feedstock,424999.99999999313,0.0,437154999.99999285,0.0,437154999.99999285
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,methane_bio,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,methanol,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,naphtha,Fossil feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,naphtha_bio,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,nitrogen,Other carriers,0.0,899724.9999999853,0.0,8997.249999999854,-8997.249999999854
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,olefins,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,propylene,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,steam,Other carriers,0.0,0.0,0.0,0.0,0.0
