node,component,capex_tot,opex_fixed,opex_variable,annual_cost_undiscounted,scenario_year,intertemporal_discount_factor,annual_cost,scenario_label,h5_file
NL3,HaberBosch,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL3,MeOHsynthesis,31942683.118283145,8524524.828766983,0.0,40467207.947050124,2020,1.0,40467207.947050124,Today,output\base_case_5_dd\2020\optimization_results.h5
NL3,OlefinSeparation,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL3,SteamReformer,98170227.36267732,41917808.2191774,0.0,140088035.58185473,2020,1.0,140088035.58185473,Today,output\base_case_5_dd\2020\optimization_results.h5
NL3,WGS_syngas,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL3,electricity_grid_connection_NL,76.30205479451921,6489207.160070925,0.0,6489283.4621257195,2020,1.0,6489283.4621257195,Today,output\base_case_5_dd\2020\optimization_results.h5
NL3,feedgas_mixer,45.44917933457283,0.0,0.0,45.44917933457283,2020,1.0,45.44917933457283,Today,output\base_case_5_dd\2020\optimization_results.h5
NL3,naphtha_mixer,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL4,Boiler_El,779111.6350014763,83168.42329566077,0.0,862280.058297137,2020,1.0,862280.058297137,Today,output\base_case_5_dd\2020\optimization_results.h5
NL4,CO2_mixer,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL4,CO2toEmissions,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL4,CrackerFurnace,160354411.6061331,136939796.37986255,-0.0,297294207.98599565,2020,1.0,297294207.98599565,Today,output\base_case_5_dd\2020\optimization_results.h5
NL4,HBfeed_mixer,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL4,HBfeed_splitter,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL4,HaberBosch,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL4,MeOHsynthesis,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL4,OlefinSeparation,76168321.03379057,65046382.37570226,0.0,141214703.40949285,2020,1.0,141214703.40949285,Today,output\base_case_5_dd\2020\optimization_results.h5
NL4,SteamReformer,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL4,WGS_syngas,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
NL4,electricity_grid_connection_NL,116.99761258450273,9950213.625820918,0.0,9950330.623433502,2020,1.0,9950330.623433502,Today,output\base_case_5_dd\2020\optimization_results.h5
NL4,feedgas_mixer,103.42429450405226,0.0,0.0,103.42429450405226,2020,1.0,103.42429450405226,Today,output\base_case_5_dd\2020\optimization_results.h5
NL4,naphtha_mixer,0.0,0.0,0.0,0.0,2020,1.0,0.0,Today,output\base_case_5_dd\2020\optimization_results.h5
BEL1,ASU,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,Biomass2methanol,14088149.238317037,6015513.601218762,-0.0,20103662.8395358,2025,1.0,20103662.8395358,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,Boiler_El,895852.3709117699,95630.23557499588,0.0,991482.6064867658,2025,1.0,991482.6064867658,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,Boiler_El_existing,1128722.1715130967,120488.56560000002,0.0,1249210.7371130968,2025,1.0,1249210.7371130968,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,CO2_mixer,1.5403260888802275,0.0,0.0,1.5403260888802275,2025,1.0,1.5403260888802275,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,CO2toEmissions,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,CrackerFurnace,0.0,0.0,-0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,CrackerFurnace_existing,232308763.0531282,198387524.1792,-0.0,430696287.2323282,2025,1.0,430696287.2323282,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,DAC_Adsorption,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,H2_network_connection_in,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,H2_network_connection_out,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,HBfeed_mixer,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,HBfeed_splitter,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,HaberBosch,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,MeOHsynthesis,42946789.8080337,11461184.230477922,0.0,54407974.03851162,2025,1.0,54407974.03851162,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,MethanolToOlefins,48683434.461985156,12992119.174337797,0.0,61675553.63632295,2025,1.0,61675553.63632295,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,OlefinSeparation,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,OlefinSeparation_existing,110346626.9868226,94234043.69999999,0.0,204580670.6868226,2025,1.0,204580670.6868226,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,PEMEC,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,Plastic2methanol,8907099.046477646,3803251.552429585,-0.0,12710350.59890723,2025,1.0,12710350.59890723,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,SOEC,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,SteamReformer,104286517.98589307,44529409.55946505,0.0,148815927.54535812,2025,1.0,148815927.54535812,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,Storage_Battery,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,Storage_H2,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,WGS_syngas,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,eCrackerFurnace,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,eSMR_syngas,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,electricity_grid_connection_BE,243.04749118629852,2711104.7465938353,0.0,2711347.7940850216,2025,1.0,2711347.7940850216,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,feedgas_mixer,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,feedgas_mixer_existing,149.8298392157178,0.0,0.0,149.8298392157178,2025,1.0,149.8298392157178,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,naphtha_mixer,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL1,rWGS,3057853.418746296,816047.5215656788,0.0,3873900.940311975,2025,1.0,3873900.940311975,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,ASU,410920.96998535265,87729.78771582732,0.0,498650.75770117994,2025,1.0,498650.75770117994,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,Biomass2methanol,0.0,0.0,-0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,Boiler_El,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,Boiler_El_existing,509573.6401307372,54395.8456,0.0,563969.4857307372,2025,1.0,563969.4857307372,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,CO2_mixer,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,CO2toEmissions,0.13675530775679962,0.0,0.0,0.13675530775679962,2025,1.0,0.13675530775679962,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,CO2toEmissions_existing,4.027250711444109,0.0,0.0,4.027250711444109,2025,1.0,4.027250711444109,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,CrackerFurnace,0.0,0.0,-0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,DAC_Adsorption,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,H2_network_connection_in,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,H2_network_connection_out,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,HBfeed_mixer,0.0016746875117198445,0.0,0.0,0.0016746875117198445,2025,1.0,0.0016746875117198445,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,HBfeed_mixer_existing,7.569245347399024,0.0,0.0,7.569245347399024,2025,1.0,7.569245347399024,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,HBfeed_splitter,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,HaberBosch,669.011919802161,271.37899543266946,0.0,940.3909152348303,2025,1.0,940.3909152348303,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,HaberBosch_existing,14543068.375143738,5899271.999999999,0.0,20442340.375143737,2025,1.0,20442340.375143737,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,MeOHsynthesis,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,MethanolToOlefins,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,OlefinSeparation,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,PEMEC,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,Plastic2methanol,0.0,0.0,-0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,SOEC,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,SteamReformer,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,SteamReformer_existing,35916443.88852458,15336000.0,0.0,51252443.88852458,2025,1.0,51252443.88852458,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,Storage_Battery,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,Storage_H2,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,WGS_syngas,0.09903259300925446,0.04122887986422557,0.0,0.14026147287348004,2025,1.0,0.14026147287348004,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,WGS_syngas_existing,2.929335420955043,1.21953,0.0,4.148865420955043,2025,1.0,4.148865420955043,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,eCrackerFurnace,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,eSMR_syngas,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,electricity_grid_connection_BE,39.920993885218536,445303.9012363226,0.0,445343.8222302078,2025,1.0,445343.8222302078,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,feedgas_mixer,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,feedgas_mixer_existing,16.62798328172434,0.0,0.0,16.62798328172434,2025,1.0,16.62798328172434,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,naphtha_mixer,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
BEL2,rWGS,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
DE,ASU,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
DE,Biomass2methanol,0.0,0.0,-0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
DE,Boiler_El,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
DE,Boiler_El_existing,2203880.7956600916,235259.34240000002,0.0,2439140.1380600915,2025,1.0,2439140.1380600915,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
DE,CO2_mixer,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
DE,CO2toEmissions,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
DE,CO2toEmissions_existing,2.61457472334043,0.0,0.0,2.61457472334043,2025,1.0,2.61457472334043,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
DE,CrackerFurnace,0.0,0.0,-0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
DE,CrackerFurnace_existing,336127394.865261,287046776.8832,-0.0,623174171.748461,2025,1.0,623174171.748461,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
DE,DAC_Adsorption,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
DE,H2_network_connection_in,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
DE,H2_network_connection_out,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
DE,HBfeed_mixer,0.001465351572756302,0.0,0.0,0.001465351572756302,2025,1.0,0.001465351572756302,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
DE,HBfeed_mixer_existing,6.623089678974146,0.0,0.0,6.623089678974146,2025,1.0,6.623089678974146,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
DE,HBfeed_splitter,0.0,0.0,0.0,0.0,2025,1.0,0.0,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
DE,HaberBosch,1381.6550517705211,560.456621004357,0.0,1942.1116727748781,2025,1.0,1942.1116727748781,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
DE,HaberBosch_existing,12724388.55862883,5161540.0,0.0,17885928.558628827,2025,1.0,17885928.558628827,Today opt.,output\base_case_5_dd\2025\optimization_results.h5
