Unnamed: 0;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2022-10-29 07:00:00;0;1000000;1000000;157.73;0.01;0.0;0.0;0.0
2022-10-29 08:00:00;0;1000000;1000000;151.32;0.01;0.0;0.0;0.0
2022-10-29 09:00:00;0;1000000;1000000;129.69;0.01;0.0;0.0;0.0
2022-10-29 10:00:00;0;1000000;1000000;120.7;0.01;0.0;0.0;0.0
2022-10-29 11:00:00;0;1000000;1000000;112.97;0.01;0.0;0.0;0.0
2022-10-29 12:00:00;0;1000000;1000000;105.45;0.01;0.0;0.0;0.0
2022-10-29 13:00:00;0;1000000;1000000;117.73;0.01;0.0;0.0;0.0
2022-10-29 14:00:00;0;1000000;1000000;135.94;0.01;0.0;0.0;0.0
2022-10-29 15:00:00;0;1000000;1000000;172.26;0.01;0.0;0.0;0.0
2022-10-29 16:00:00;0;1000000;1000000;212.72;0.01;0.0;0.0;0.0
2022-10-29 17:00:00;0;1000000;1000000;285.8;0.01;0.0;0.0;0.0
2022-10-29 18:00:00;0;1000000;1000000;257.44;0.01;0.0;0.0;0.0
2022-10-29 19:00:00;0;1000000;1000000;203.82;0.01;0.0;0.0;0.0
2022-10-29 20:00:00;0;1000000;1000000;140.6;0.01;0.0;0.0;0.0
2022-10-29 21:00:00;0;1000000;1000000;124.05;0.01;0.0;0.0;0.0
2022-10-29 22:00:00;0;1000000;1000000;118.08;0.01;0.0;0.0;0.0
2022-10-29 23:00:00;0;1000000;1000000;103.09;0.01;0.0;0.0;0.0
2022-10-30 00:00:00;0;1000000;1000000;100.71;0.01;0.0;0.0;0.0
2022-10-30 01:00:00;0;1000000;1000000;100.52;0.01;0.0;0.0;0.0
2022-10-30 02:00:00;0;1000000;1000000;98.16;0.01;0.0;0.0;0.0
2022-10-30 03:00:00;0;1000000;1000000;98.05;0.01;0.0;0.0;0.0
2022-10-30 04:00:00;0;1000000;1000000;100.56;0.01;0.0;0.0;0.0
2022-10-30 05:00:00;0;1000000;1000000;106.32;0.01;0.0;0.0;0.0
2022-10-30 06:00:00;0;1000000;1000000;123.54;0.01;0.0;0.0;0.0
2022-10-30 07:00:00;0;1000000;1000000;139.68;0.01;0.0;0.0;0.0
2022-10-30 08:00:00;0;1000000;1000000;138.91;0.01;0.0;0.0;0.0
2022-10-30 09:00:00;0;1000000;1000000;124.34;0.01;0.0;0.0;0.0
2022-10-30 10:00:00;0;1000000;1000000;115.0;0.01;0.0;0.0;0.0
2022-10-30 11:00:00;0;1000000;1000000;109.68;0.01;0.0;0.0;0.0
2022-10-30 12:00:00;0;1000000;1000000;102.53;0.01;0.0;0.0;0.0
2022-10-30 13:00:00;0;1000000;1000000;106.95;0.01;0.0;0.0;0.0
2022-10-30 14:00:00;0;1000000;1000000;111.31;0.01;0.0;0.0;0.0
2022-10-30 15:00:00;0;1000000;1000000;126.16;0.01;0.0;0.0;0.0
2022-10-30 16:00:00;0;1000000;1000000;160.0;0.01;0.0;0.0;0.0
2022-10-30 17:00:00;0;1000000;1000000;193.88;0.01;0.0;0.0;0.0
2022-10-30 18:00:00;0;1000000;1000000;192.89;0.01;0.0;0.0;0.0
2022-10-30 19:00:00;0;1000000;1000000;159.44;0.01;0.0;0.0;0.0
2022-10-30 20:00:00;0;1000000;1000000;133.56;0.01;0.0;0.0;0.0
